,address,code,name,state,zone,coordinates
6119,,NKK,Narikkudi,,,"[78.33712799999999, 9.607657999999999]"
6120,,NKN,Nyoli Kalan,,,"[75.633124, 29.189764]"
6121,,PPDI,Pipradih,,,"[86.9944876282, 24.9936652146]"
6122,,BLHI,Bisalehalli,,,"[75.9666857568, 13.4826117961]"
6123,,DSHI,Doddasiddavanha,,,"[76.48848000000001, 14.209931]"
6124,,BJKN,Bajekan,,,"[75.099097, 29.524297999999998]"
6125,,DTT,Doddanatta Halt,,,"[78.13389600000001, 13.374454]"
6126,"Churaibari, Tripura",CBZ,Churaibari,Tripura,NFR,"[92.24124800000001, 24.433621]"
6127,,MVA,Malaka Vemala,,,"[78.053936, 14.268888]"
6128,"Rajsamand, Rajasthan",BIML,Bhimal,Rajasthan,NWR,"[73.92244020000001, 24.7524306]"
6129,,MZB,Mahuli Halt,,,"[79.315031, 21.033307999999998]"
6130,,WOC,Warud Orange City,,,"[78.276164, 21.458720999999997]"
6131,,SANH,SANHA HALT,,,"[86.3684319092, 25.4274073054]"
6132,,IFCO,IFFCO CABIN,,,"[72.535718, 23.179203]"
6133,"Kangra, Himachal Pradesh",KGRA,KANGRA,Himachal Pradesh,NR,"[76.26256500000001, 32.085157]"
6134,,MJKN,MAJRI KHADAN,,,"[79.01907800000001, 20.109731]"
6135,,PMD,PAMIDI,,,"[77.5990446368, 14.980726541100001]"
6136,"Nainital District, Uttarakhand",PRM,PIRUMADARA,Uttarakhand,NER,"[79.045744, 29.327364]"
6137,"Sikkal, Tamil Nadu",SKK,SIKKAL,Tamil Nadu,SR,"[79.790691, 10.753121]"
6138,,RSC,RAMGANGA SOUTH,,,"[79.369788, 28.295969]"
6139,"Palghar, Maharashtra",PLG,PALGHAR,Maharashtra,WR,"[72.77248, 19.698038]"
6140,,PPLC,PIMPLA CHAURE HALT,,,"[77.13253484500001, 19.286454997699998]"
6141,,KLNT,KALINAGAR,,,"[88.335819, 23.365861]"
6142,"Ghazipur, Uttar Pradesh",ARJ,AUNRIHAR JN,Uttar Pradesh,NER,"[83.18727200000001, 25.54466]"
6143,,TNDN,THANDONI,,,"[78.108515, 10.93648]"
6144,"National Highway 15, Rajasthan",MBT,MARWAR BIRTHI,Rajasthan,NWR,"[72.290171, 27.099589]"
6145,,PLE,PIPLEE,,,"[71.530851, 23.817141]"
6146,,MTSK,MOTA SURKA,,,"[71.924583, 21.724542]"
